Strain,Age,RBC,One,Two,Three,Four,Five
Dd2,Positive,261,37,11,4,,
Dd2,Positive,276,20,10,3,,
Dd2,Positive,276,24,7,1,1,
Dd2,Very Young,263,30,11,2,,
Dd2,Very Young,258,32,15,4,,
Dd2,Very Young,259,38,9,4,,
Dd2,Young,270,34,19,3,1,
Dd2,Young,257,32,10,2,,
Dd2,Young,254,24,13,,,
Dd2,Medium,258,24,3,,,
Dd2,Medium,264,28,6,0,1,
Dd2,Medium,257,28,2,,,
Dd2,Old,264,17,0,1,,
Dd2,Old,258,17,1,,,
Dd2,Old,258,8,1,,,
HB3,Positive,281,38,8,2,1,
HB3,Positive,260,32,10,,,
HB3,Positive,257,23,4,1,1,1
HB3,Very Young,250,44,14,2,,
HB3,Very Young,269,36,12,4,1,
HB3,Very Young,250,31,5,6,,
HB3,Young,253,31,13,,,
HB3,Young,253,21,10,2,,
HB3,Young,254,20,8,,,
HB3,Medium,269,24,7,1,,
HB3,Medium,252,27,2,1,1,
HB3,Medium,254,28,6,1,1,
HB3,Old,250,4,1,,,
HB3,Old,254,3,1,,,
HB3,Old,275,5,,,,
3D7,Positive,260,19,7,3,1,
3D7,Positive,261,15,7,3,2,
3D7,Positive,257,17,8,1,,
3D7,Very Young,257,28,16,6,1,
3D7,Very Young,250,39,11,4,1,
3D7,Very Young,254,23,9,1,1,
3D7,Young,252,37,17,3,1,
3D7,Young,253,26,10,5,1,
3D7,Young,256,30,13,6,2,
3D7,Medium,265,18,10,1,,
3D7,Medium,255,12,4,4,,
3D7,Medium,250,16,5,1,,
3D7,Old,274,6,,,,
3D7,Old,266,7,1,,,
3D7,Old,253,5,3,,,
FCR3,Positive,254,13,2,2,,
FCR3,Positive,270,34,8,0,1,
FCR3,Positive,253,22,8,0,1,
FCR3,Very Young,260,22,4,5,,
FCR3,Very Young,252,34,14,3,,
FCR3,Very Young,271,45,9,2,,
FCR3,Young,251,26,5,1,,
FCR3,Young,267,28,11,,,
FCR3,Young,256,46,10,2,1,
FCR3,Medium,278,20,2,,,
FCR3,Medium,254,20,3,,,
FCR3,Medium,265,19,2,2,,
FCR3,Old,269,14,1,1,,
FCR3,Old,268,11,2,,,
FCR3,Old,293,7,1,,,
EFcyc2,Positive,252,34,16,4,,
EFcyc2,Positive,250,29,12,2,,
EFcyc2,Positive,260,19,11,5,1,
EFcyc2,Very Young,251,24,13,8,1,
EFcyc2,Very Young,253,37,14,3,1,
EFcyc2,Very Young,256,32,19,6,,
EFcyc2,Young,258,50,18,5,,
EFcyc2,Young,255,48,15,3,,
EFcyc2,Young,257,40,14,6,2,
EFcyc2,Medium,254,19,3,1,,
EFcyc2,Medium,256,20,5,4,,
EFcyc2,Medium,290,17,9,1,,
EFcyc2,Old,255,10,1,,,
EFcyc2,Old,254,10,1,,,
EFcyc2,Old,250,9,3,2,,
C2,Positive,255,13,6,1,,
C2,Positive,264,21,8,2,1,
C2,Positive,262,6,3,3,,
C2,Very Young,257,26,4,2,,
C2,Very Young,255,26,6,2,,
C2,Very Young,260,25,10,3,1,
C2,Young,271,13,8,2,,
C2,Young,269,27,12,3,,
C2,Young,255,14,4,3,,
C2,Medium,280,13,3,,,
C2,Medium,253,8,2,2,,
C2,Medium,251,9,3,,,
C2,Old,259,3,1,,,
C2,Old,253,9,1,,,
C2,Old,256,6,1,2,,
Dd2NM,Positive,278,27,13,5,,
Dd2NM,Positive,253,32,8,0,1,
Dd2NM,Positive,254,32,6,2,,
Dd2NM,Very Young,254,29,10,5,,
Dd2NM,Very Young,255,28,10,3,1,1
Dd2NM,Very Young,252,29,10,3,,
Dd2NM,Young,257,29,15,4,,
Dd2NM,Young,253,33,15,4,3,
Dd2NM,Young,252,32,8,3,2,
Dd2NM,Medium,250,25,5,5,,
Dd2NM,Medium,254,37,9,2,,
Dd2NM,Medium,256,31,2,3,1,
Dd2NM,Old,271,15,5,2,,
Dd2NM,Old,269,19,,,,
Dd2NM,Old,261,13,1,,,
