Strain,Age,RBC,One,Two,Three,Four,Five
Dd2,Positive,266,22,14,1,,
Dd2,Positive,253,28,4,1,,
Dd2,Positive,251,27,7,2,,
Dd2,Very Young,251,42,15,2,,
Dd2,Very Young,256,42,10,,,
Dd2,Very Young,253,38,6,1,,
Dd2,Young,254,39,8,3,1,
Dd2,Young,261,37,5,2,,
Dd2,Young,259,35,9,2,2,
Dd2,Medium,256,41,10,2,,
Dd2,Medium,272,24,7,2,,
Dd2,Medium,265,32,6,3,1,
Dd2,Old,269,18,4,,,
Dd2,Old,259,20,4,,,
Dd2,Old,265,27,4,,,
3D7,Positive,264,14,7,2,,
3D7,Positive,262,10,8,4,2,1
3D7,Positive,253,9,6,1,,
3D7,Very Young,309,25,4,2,1,
3D7,Very Young,264,15,8,1,,
3D7,Very Young,256,23,10,1,0,1
3D7,Young,263,15,3,3,,
3D7,Young,269,13,4,2,3,
3D7,Young,257,18,1,,,
3D7,Medium,262,18,5,4,1,1
3D7,Medium,281,7,6,6,,
3D7,Medium,255,8,11,2,,
3D7,Old,275,9,2,1,,
3D7,Old,279,9,5,4,2,
3D7,Old,273,16,7,1,3,
C2,Positive,252,20,3,1,,
C2,Positive,255,16,7,,,
C2,Positive,268,20,3,,,
C2,Very Young,269,17,2,2,2,
C2,Very Young,256,15,4,,,
C2,Very Young,262,17,6,0,0,1
C2,Young,258,10,2,,,
C2,Young,270,16,5,3,,
C2,Young,284,8,3,2,1,
C2,Medium,253,9,7,0,1,
C2,Medium,252,17,4,2,,
C2,Medium,254,15,6,,,
C2,Old,255,13,2,4,,
C2,Old,261,15,3,1,1,
C2,Old,252,11,1,1,,
Dd2NM,Positive,251,22,7,2,,
Dd2NM,Positive,280,20,2,1,1,
Dd2NM,Positive,253,24,2,1,,
Dd2NM,Very Young,254,22,12,1,,
Dd2NM,Very Young,272,28,3,3,2,
Dd2NM,Very Young,253,26,10,,,
Dd2NM,Young,277,22,4,0,1,
Dd2NM,Young,278,18,5,3,1,1
Dd2NM,Young,258,27,8,1,0,1
Dd2NM,Medium,253,20,6,2,1,
Dd2NM,Medium,265,18,5,,,
Dd2NM,Medium,253,19,7,1,2,1
Dd2NM,Old,288,14,1,0,1,1
Dd2NM,Old,265,18,2,1,,
Dd2NM,Old,285,21,2,3,1,
