Strain,Age,RBC,One,Two,Three,Four,Five
Dd2,Positive,261,33,10,1,0,1
Dd2,Positive,269,21,10,1,,
Dd2,Positive,259,21,8,,,
Dd2,Very Young,259,18,7,2,,
Dd2,Very Young,253,26,8,3,1,
Dd2,Very Young,254,25,11,2,,
Dd2,Young,254,36,10,3,,
Dd2,Young,257,30,10,4,1,
Dd2,Young,256,29,9,2,,
Dd2,Medium,262,12,2,1,,
Dd2,Medium,268,12,2,1,,
Dd2,Medium,286,13,2,,,
Dd2,Old,260,12,,,,
Dd2,Old,254,7,4,,,
Dd2,Old,280,10,,,,
HB3,Positive,323,20,9,0,2,
HB3,Positive,262,22,6,5,,
HB3,Positive,276,22,9,3,1,
HB3,Very Young,251,21,8,3,,
HB3,Very Young,256,15,10,3,1,
HB3,Very Young,255,18,7,5,,
HB3,Young,254,26,9,2,,
HB3,Young,259,25,2,3,,
HB3,Young,267,24,7,1,,
HB3,Medium,259,12,3,1,,
HB3,Medium,259,11,1,,,
HB3,Medium,257,,1,,,
HB3,Old,294,7,1,,,
HB3,Old,292,8,,,,
HB3,Old,255,6,1,,,
3D7,Positive,354,18,4,2,1,
3D7,Positive,283,18,4,1,,
3D7,Positive,254,24,7,3,1,
3D7,Very Young,310,19,12,1,,
3D7,Very Young,267,22,12,3,,
3D7,Very Young,296,22,8,1,,
3D7,Young,296,12,6,,,
3D7,Young,288,20,3,1,2,
3D7,Young,257,18,2,2,,
3D7,Medium,305,4,4,1,,
3D7,Medium,257,4,4,0,1,
3D7,Medium,264,5,1,,,
3D7,Old,273,5,0,1,,
3D7,Old,287,3,,,,
3D7,Old,255,4,,,,
FCR3,Positive,287,22,6,,,
FCR3,Positive,251,38,7,3,,
FCR3,Positive,258,30,5,2,,
FCR3,Very Young,251,33,4,3,,
FCR3,Very Young,253,37,9,0,1,
FCR3,Very Young,253,43,6,3,,
FCR3,Young,304,39,8,2,,
FCR3,Young,262,36,9,1,1,
FCR3,Young,267,29,8,1,,
FCR3,Medium,297,14,,,,
FCR3,Medium,263,12,2,,,
FCR3,Medium,263,11,3,,,
FCR3,Old,257,11,1,2,,
FCR3,Old,272,10,0,1,,
FCR3,Old,265,6,1,,,
