Strain,Age,RBC,One,Two,Three,Four,Five
Dd2,Positive,288,39,20,3,,
Dd2,Positive,271,42,11,2,3,
Dd2,Positive,257,45,12,3,1,
Dd2,Very Young,,,,,,
Dd2,Very Young,,,,,,
Dd2,Very Young,255,46,9,2,1,
Dd2,Young,263,50,25,4,,
Dd2,Young,257,46,14,1,1,
Dd2,Young,252,46,8,2,,
Dd2,Medium,259,31,10,4,,
Dd2,Medium,251,31,5,3,,
Dd2,Medium,257,41,7,1,,
Dd2,Old,255,18,7,,,
Dd2,Old,256,23,3,,,
Dd2,Old,254,18,2,,,
HB3,Positive,259,33,9,2,,
HB3,Positive,251,34,10,1,1,
HB3,Positive,319,33,7,8,1,
HB3,Very Young,267,44,15,6,1,1
HB3,Very Young,252,37,11,5,1,
HB3,Very Young,269,46,10,0,1,
HB3,Young,298,41,5,7,,
HB3,Young,252,39,15,2,1,
HB3,Young,266,58,9,1,2,
HB3,Medium,306,50,9,2,,
HB3,Medium,318,42,7,2,,
HB3,Medium,254,31,10,4,,
HB3,Old,259,13,2,,,
HB3,Old,270,13,1,,,
HB3,Old,254,11,1,1,,
3D7,Positive,274,23,15,8,,
3D7,Positive,333,34,18,4,1,
3D7,Positive,277,31,10,4,2,
3D7,Very Young,254,30,18,6,,
3D7,Very Young,257,31,11,7,1,
3D7,Very Young,252,39,15,7,2,
3D7,Young,266,41,16,3,,
3D7,Young,265,21,10,9,2,
3D7,Young,261,31,8,7,1,
3D7,Medium,269,9,7,5,,
3D7,Medium,277,16,9,1,1,
3D7,Medium,259,12,3,1,,
3D7,Old,290,6,1,1,,
3D7,Old,284,8,1,1,,
3D7,Old,262,7,1,1,,
FCR3,Positive,307,43,8,2,,
FCR3,Positive,258,48,7,3,,
FCR3,Positive,255,65,14,1,,
FCR3,Very Young,317,62,21,1,,
FCR3,Very Young,274,46,15,5,,
FCR3,Very Young,251,53,13,,,
FCR3,Young,251,52,11,,,
FCR3,Young,254,72,10,2,,
FCR3,Young,251,37,8,2,1,
FCR3,Medium,291,47,7,1,,
FCR3,Medium,249,39,9,1,,
FCR3,Medium,259,25,5,1,,
FCR3,Old,265,15,0,1,,
FCR3,Old,275,16,1,,,
FCR3,Old,286,19,1,,,
EFcyc2,Positive,258,37,12,4,1,
EFcyc2,Positive,262,36,22,6,2,
EFcyc2,Positive,265,38,13,8,1,
EFcyc2,Very Young,259,37,21,10,1,
EFcyc2,Very Young,285,64,14,15,1,
EFcyc2,Very Young,252,52,15,5,2,
EFcyc2,Young,265,49,17,11,1,
EFcyc2,Young,274,41,28,7,3,
EFcyc2,Young,261,32,27,4,,
EFcyc2,Medium,253,41,15,1,,
EFcyc2,Medium,296,24,9,,,
EFcyc2,Medium,271,22,8,4,,
EFcyc2,Old,283,3,4,,,
EFcyc2,Old,315,12,3,1,,
EFcyc2,Old,272,8,6,,,
C2,Positive,254,38,13,4,2,
C2,Positive,303,35,13,2,,
C2,Positive,250,24,7,3,,
C2,Very Young,293,34,16,3,1,
C2,Very Young,264,38,22,7,1,
C2,Very Young,253,25,8,5,,
C2,Young,275,26,12,4,,
C2,Young,258,48,16,3,,
C2,Young,264,39,9,4,1,1
C2,Medium,285,29,8,2,,
C2,Medium,259,19,8,,,
C2,Medium,266,24,7,0,1,
C2,Old,265,12,2,2,,
C2,Old,252,9,,,,
C2,Old,264,10,3,1,,
Dd2NM,Positive,260,28,8,0,0,1
Dd2NM,Positive,262,29,9,3,,
Dd2NM,Positive,307,34,12,1,,
Dd2NM,Very Young,285,25,16,5,1,
Dd2NM,Very Young,281,23,14,2,1,
Dd2NM,Very Young,258,32,6,1,1,
Dd2NM,Young,336,24,11,1,,
Dd2NM,Young,251,17,7,2,,
Dd2NM,Young,256,41,4,4,,
Dd2NM,Medium,261,16,7,1,,
Dd2NM,Medium,256,26,4,3,,
Dd2NM,Medium,253,21,6,,,
Dd2NM,Old,310,19,5,1,,
Dd2NM,Old,250,16,1,,,
Dd2NM,Old,259,15,1,,,
