Strain,Age,RBC,One,Two,Three,Four,Five
Dd2,Positive,314,14,4,2,,
Dd2,Positive,259,17,2,1,,
Dd2,Positive,377,17,1,,,
Dd2,Very Young,256,12,8,1,0,1
Dd2,Very Young,255,18,1,1,,
Dd2,Very Young,256,8,4,,,
Dd2,Young,286,16,4,,,
Dd2,Young,298,18,1,,,
Dd2,Young,279,21,0,1,,
Dd2,Medium,253,15,1,1,,
Dd2,Medium,294,9,2,1,1,
Dd2,Medium,262,10,,,,
Dd2,Old,258,8,3,,,
Dd2,Old,288,10,0,1,,
Dd2,Old,287,9,2,,,
Dd2NM,Positive,282,16,5,1,,
Dd2NM,Positive,282,23,4,0,2,
Dd2NM,Positive,326,17,4,,,
Dd2NM,Very Young,261,15,7,2,,
Dd2NM,Very Young,283,21,3,1,,
Dd2NM,Very Young,259,14,6,4,1,
Dd2NM,Young,256,12,5,,,
Dd2NM,Young,265,17,1,2,,
Dd2NM,Young,280,9,4,4,1,
Dd2NM,Medium,251,17,3,,,
Dd2NM,Medium,260,12,4,2,,
Dd2NM,Medium,285,10,3,1,,
Dd2NM,Old,252,9,1,,,
Dd2NM,Old,279,7,1,,,
Dd2NM,Old,258,11,,,,
3D7,Positive,299,18,3,2,0,1
3D7,Positive,253,14,6,1,1,
3D7,Positive,372,11,10,3,4,
3D7,Very Young,253,23,4,6,1,
3D7,Very Young,278,16,2,2,1,
3D7,Very Young,309,23,5,,,
3D7,Young,263,12,3,1,1,
3D7,Young,277,9,7,3,,
3D7,Young,255,12,5,,,
3D7,Medium,262,21,5,1,,
3D7,Medium,316,14,4,1,3,
3D7,Medium,254,16,6,2,1,
3D7,Old,264,13,5,1,,
3D7,Old,252,12,1,0,2,
3D7,Old,254,5,6,1,,
C2,Positive,250,12,3,1,,
C2,Positive,287,13,6,2,0,1
C2,Positive,267,8,3,,,
C2,Very Young,252,15,3,,,
C2,Very Young,263,12,5,1,1,
C2,Very Young,275,19,5,,,
C2,Young,255,5,5,2,,
C2,Young,254,16,8,,,
C2,Young,259,14,2,,,
C2,Medium,263,7,4,,,
C2,Medium,255,8,5,2,,
C2,Medium,280,15,5,3,,
C2,Old,302,11,2,,,
C2,Old,261,6,4,,,
C2,Old,264,6,3,,,
