Strain,Age,RBC,One,Two,Three,Four,Five
Dd2,Positive,258,35,8,2,0,1
Dd2,Positive,268,20,13,4,,
Dd2,Positive,251,28,2,,,
Dd2,Very Young,263,29,11,3,2,
Dd2,Very Young,251,29,10,3,,
Dd2,Very Young,259,33,9,4,1,
Dd2,Young,258,26,6,2,,
Dd2,Young,257,34,9,0,1,
Dd2,Young,257,25,6,,,
Dd2,Medium,278,10,3,,,
Dd2,Medium,276,14,5,,,
Dd2,Medium,360,19,3,1,,
Dd2,Old,252,12,,,,
Dd2,Old,250,13,2,,,
Dd2,Old,273,10,2,,,
HB3,Positive,321,41,9,3,1,
HB3,Positive,254,21,7,1,1,
HB3,Positive,257,33,12,5,,
HB3,Very Young,279,31,12,4,,
HB3,Very Young,253,37,12,1,,
HB3,Very Young,253,33,8,4,2,
HB3,Young,251,22,7,2,,
HB3,Young,300,27,10,,,
HB3,Young,267,24,6,1,,
HB3,Medium,251,22,3,,,
HB3,Medium,275,13,3,,,
HB3,Medium,276,12,1,,,
HB3,Old,285,8,2,,,
HB3,Old,309,12,,,,
HB3,Old,257,8,1,,,
3D7,Positive,261,19,13,1,,
3D7,Positive,266,17,7,2,1,
3D7,Positive,278,18,5,1,,
3D7,Very Young,266,28,8,,,
3D7,Very Young,258,26,7,,,
3D7,Very Young,256,23,9,3,,
3D7,Young,273,18,4,,,
3D7,Young,261,16,2,3,,
3D7,Young,267,22,4,1,,
3D7,Medium,256,5,3,,,
3D7,Medium,266,6,,,,
3D7,Medium,258,2,1,,,
3D7,Old,254,4,1,,,
3D7,Old,257,9,0,1,,
3D7,Old,281,1,,,,
FCR3,Positive,252,29,7,1,,
FCR3,Positive,270,43,15,5,,
FCR3,Positive,269,36,12,0,1,
FCR3,Very Young,264,44,10,2,1,
FCR3,Very Young,253,42,15,,,
FCR3,Very Young,251,55,12,,,
FCR3,Young,277,48,6,,,
FCR3,Young,255,49,9,2,,
FCR3,Young,257,42,5,1,,
FCR3,Medium,280,19,1,,,
FCR3,Medium,263,23,2,1,,
FCR3,Medium,257,18,2,,,
FCR3,Old,257,8,2,,,
FCR3,Old,293,6,,,,
FCR3,Old,280,15,2,,,
